"owner_repo","category","signature","relative_file","line_number"
"chimaoshu/SZU_rush_for_lessons","01_same_stack","xsxkapp","Spider.py","19"
"chimaoshu/SZU_rush_for_lessons","01_same_stack","xsxkapp","Spider.py","31"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","xsxkapp","src\ynu_xk_spider\http\client.py","82"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","publicCourse_do","src\ynu_xk_spider\http\endpoints.py","37"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","xsxkapp","src\ynu_xk_spider\http\endpoints.py","37"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","programCourse_do","src\ynu_xk_spider\http\endpoints.py","48"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","xsxkapp","src\ynu_xk_spider\http\endpoints.py","48"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","volunteer_do","src\ynu_xk_spider\http\endpoints.py","59"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","xsxkapp","src\ynu_xk_spider\http\endpoints.py","59"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","courseResult_do","src\ynu_xk_spider\http\endpoints.py","73"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","xsxkapp","src\ynu_xk_spider\http\endpoints.py","73"
"Dytchem/Machine-Learning-with-Python","02_adjacent","xsxkapp","crawler\workbench\.ipynb_checkpoints\data-checkpoint.csv","165"
"Dytchem/Machine-Learning-with-Python","02_adjacent","xsxkapp","crawler\workbench\data.csv","165"
"Dytchem/Machine-Learning-with-Python","02_adjacent","volunteer_do","crawler\xkfw\xkfw.py","45"
"Dytchem/Machine-Learning-with-Python","02_adjacent","xsxkapp","crawler\xkfw\xkfw.py","45"
"Dytchem/Machine-Learning-with-Python","02_adjacent","xsxkapp","crawler\xkfw\xkfw.py","56"
"Dytchem/Machine-Learning-with-Python","02_adjacent","xsxkapp","crawler\xkfw\xkfw.py","84"
"fe1w0/DailyClock_XDU_version","02_adjacent","xsxkapp","courseChoose.py","93"
"fe1w0/DailyClock_XDU_version","02_adjacent","xsxkapp","courseChoose.py","111"
"fe1w0/DailyClock_XDU_version","02_adjacent","xsxkapp","courseChoose.py","115"
"fe1w0/DailyClock_XDU_version","02_adjacent","xsxkapp","courseQuery.py","102"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","lib\authenticator.py","22"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","vcode_do","lib\authenticator.py","24"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","lib\common.py","151"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","studentstatus_do","lib\common.py","175"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","lib\common.py","175"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","studentstatus_do","lib\common.py","189"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","lib\common.py","192"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","lib\session_manager.py","34"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","README.md","153"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","tools\get_batch_code.py","12"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","tools\get_batch_code.py","13"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","tools\import_favorites.py","32"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","tools\query_course_v2.py","32"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","xk_favorites.py","41"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk_favorites.py","42"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk_favorites.py","247"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk_quick.py","42"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","xk_quick.py","42"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk_quick.py","220"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","studentstatus_do","xk_quick.py","221"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk.py","34"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","xsxkapp","xk.py","34"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","volunteer_do","xk.py","206"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","studentstatus_do","xk.py","207"
"GreenTeodoro839/NJUxklogin","01_same_stack","xsxkapp","njuxklogin\_authenticator.py","15"
"GreenTeodoro839/NJUxklogin","01_same_stack","vcode_do","njuxklogin\_authenticator.py","17"
"GreenTeodoro839/NJUxklogin","01_same_stack","volunteer_do","README.md","168"
"GreenTeodoro839/NJUxklogin","01_same_stack","xsxkapp","README.md","168"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","configs\config.py","1"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","configs\config.py","2"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","configs\config.py","5"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","configs\config.py","7"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","configs\config.py","9"
"guh0613/ehall-backend","00_nnu_direct","xsxkapp","configs\config.py","9"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","utils\request_utils.py","29"
"guh0613/ehall-backend","00_nnu_direct","nnu_domain","utils\request_utils.py","30"
"guiyi886/szu_grab_course","01_same_stack","courseResult_do","choose_course.py","16"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","choose_course.py","16"
"guiyi886/szu_grab_course","01_same_stack","volunteer_do","choose_course.py","45"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","choose_course.py","45"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","20"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","20"
"guiyi886/szu_grab_course","01_same_stack","recommendedCourse_do","downloads.py","26"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","26"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","40"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","40"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","49"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","49"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","58"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","58"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","67"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","67"
"guiyi886/szu_grab_course","01_same_stack","programCourse_do","downloads.py","76"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","downloads.py","76"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","login.py","15"
"guiyi886/szu_grab_course","01_same_stack","vcode_do","login.py","25"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","login.py","25"
"guiyi886/szu_grab_course","01_same_stack","recommendedCourse_do","README.md","47"
"guiyi886/szu_grab_course","01_same_stack","recommendedCourse_do","setting.py","7"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","test.py","11"
"guiyi886/szu_grab_course","01_same_stack","volunteer_do","test.py","18"
"guiyi886/szu_grab_course","01_same_stack","xsxkapp","test.py","18"
"HansZ8/BIT-XK-WISEDU","01_same_stack","vcode_do","xk.py","32"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","32"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","42"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","88"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","90"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","129"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","149"
"HansZ8/BIT-XK-WISEDU","01_same_stack","volunteer_do","xk.py","231"
"HansZ8/BIT-XK-WISEDU","01_same_stack","xsxkapp","xk.py","231"
"HeraldStudio/herald-webservice","02_adjacent","vcode_do","routes\api\curriculum.js","130"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","130"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","136"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","138"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","142"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","154"
"HeraldStudio/herald-webservice","02_adjacent","courseResult_do","routes\api\curriculum.js","155"
"HeraldStudio/herald-webservice","02_adjacent","xsxkapp","routes\api\curriculum.js","155"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","61"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","91"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","457"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","799"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","834"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","850"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","923"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\auth\login.go","939"
"Hz162/XJTU-Course-Genius","02_adjacent","courseResult_do","backend\internal\course\query.go","76"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","76"
"Hz162/XJTU-Course-Genius","02_adjacent","recommendedCourse_do","backend\internal\course\query.go","129"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\internal\course\query.go","130"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\internal\course\query.go","131"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\internal\course\query.go","132"
"Hz162/XJTU-Course-Genius","02_adjacent","publicCourse_do","backend\internal\course\query.go","133"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","250"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","410"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\internal\course\query.go","449"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","449"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\internal\course\query.go","486"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","486"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\internal\course\query.go","536"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","536"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\internal\course\query.go","580"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\query.go","580"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\round.go","18"
"Hz162/XJTU-Course-Genius","02_adjacent","xkxf_do","backend\internal\course\round.go","59"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\round.go","59"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\course\round.go","79"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\session\manager.go","157"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","backend\internal\session\manager.go","180"
"Hz162/XJTU-Course-Genius","02_adjacent","xkxf_do","backend\README.md","118"
"Hz162/XJTU-Course-Genius","02_adjacent","courseResult_do","backend\README.md","119"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\README.md","122"
"Hz162/XJTU-Course-Genius","02_adjacent","volunteer_do","backend\README.md","123"
"Hz162/XJTU-Course-Genius","02_adjacent","recommendedCourse_do","backend\README.md","129"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\README.md","130"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\README.md","131"
"Hz162/XJTU-Course-Genius","02_adjacent","publicCourse_do","backend\README.md","132"
"Hz162/XJTU-Course-Genius","02_adjacent","programCourse_do","backend\README.md","133"
"Hz162/XJTU-Course-Genius","02_adjacent","xsxkapp","docs\CAS-LOGIN-GUIDE.md","233"
"imcuttle/njnu-quick-get-score","00_nnu_direct","njnu_domain","package.json","2"
"imcuttle/njnu-quick-get-score","00_nnu_direct","njnu_domain","package.json","15"
"imcuttle/njnu-quick-get-score","00_nnu_direct","njnu_domain","package.json","20"
"imcuttle/njnu-quick-get-score","00_nnu_direct","njnu_domain","package.json","22"
"imcuttle/njnu-quick-get-score","00_nnu_direct","njnu_domain","README.md","139"
