"owner_repo","category","origin","commit","commit_date","file_count","source_bytes","readme","license_file","manifests"
"lvttt/xdu-course-helper","02_adjacent","https://github.com/lvttt/xdu-course-helper.git","c3fa33b35aef82e8f6475f9e5b629182858d2b41","2026-03-19T23:45:47+08:00","56","303106","Readme.md","LICENSE","package.json"
"Mellow-Winds/NJU-Hub","02_adjacent","https://github.com/Mellow-Winds/NJU-Hub.git","b3ffc3abbb36d993946183d04019bd827bcaa93c","2026-08-24T21:52:06+08:00","99","58649803","README.md","","package.json"
"Othixx/xjtucourse","02_adjacent","https://github.com/Othixx/xjtucourse.git","b164aad4c4161b9fc12af01c853cf68c502ef482","2025-02-21T14:05:08+08:00","7","17275950","README.md","LICENSE",""
"RyanShaw3/MyScripts","02_adjacent","https://github.com/RyanShaw3/MyScripts.git","8abe47df1adc70dc13389b0cc2ec301d4d3018c6","2025-03-22T20:19:32+08:00","207","2125658","README.md","LICENSE","ConvertToPDF\requirements.txt"
"treehey/AutoCaptcha","02_adjacent","https://github.com/treehey/AutoCaptcha.git","c20df009bb9717ef911241ed990c3694a25ab75b","2026-07-28T23:53:03+08:00","1219","177906684","readme.md","LICENSE",""
"WheretoSleepinNJU/NJU-Class-Shedule-Flutter","02_adjacent","https://github.com/WheretoSleepinNJU/NJU-Class-Shedule-Flutter.git","bb4d3d16a2368a09e414f88919a53c799b035d50","2026-08-22T18:56:02+08:00","316","3016315","README.md","LICENSE","Gemfile"
"xjtu-wang/XJTU-Toolbox","02_adjacent","https://github.com/xjtu-wang/XJTU-Toolbox.git","2eac98c4dda3ee75b528245db6a559b716e8b43c","2025-11-04T01:43:35+08:00","19","2427196","README.md","","requirements.txt"
"YDX-2147483647/BIT-enhanced","02_adjacent","https://github.com/YDX-2147483647/BIT-enhanced.git","900d2e6c5cc1cdb2209ca5b1cb8c9bc0ff8a2d90","2026-07-07T08:30:50+08:00","87","242917","README.md","LICENSE","docs\Gemfile"
"yyngfive/new-course-system","02_adjacent","https://github.com/yyngfive/new-course-system.git","4ca3d9a5ab58d02d84fd58bc89616c2fbfc006a9","2021-08-31T12:29:52+08:00","7","31190","README.md","LICENSE","requirements.txt"
"zly2006/xjtu-course","02_adjacent","https://github.com/zly2006/xjtu-course.git","32cec94b1a09e85afe62f0e0fbc6d2e872b972e0","2024-02-27T20:18:57+08:00","4","4955","","",""
"zly2006/xjtu-login","02_adjacent","https://github.com/zly2006/xjtu-login.git","c749ac9260e8615cb3e7f5ac19086628a8655d99","2025-09-11T12:49:50+08:00","12","99592","README.md","","Cargo.toml"
