"scan_root","category","relative_file","note"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\spider\data.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\spider\login.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\utils\index.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\CQUT\cqut_01.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\FJCPC\fjcpc.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\GUC\school.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\GZTRC\gztrc.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\HUAT\HUAT.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\IMUT\IMUT_01.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\JLU\JLU_01.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\NIIT\niit.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\XingHeYuZhuan__shiguang_warehouse\resources\SXDZKJ\sxdzkj.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\ANDYWANGTIANTIAN__SZU_AutoCourseSelecter\v1\gui.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\ANDYWANGTIANTIAN__SZU_AutoCourseSelecter\v1\login.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\ANDYWANGTIANTIAN__SZU_AutoCourseSelecter\v1\settings.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\AriaPokotengYe__SEU-NewSystem-catcher\crawl.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\README.md","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\src\ynu_xk_spider\domain\models.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\src\ynu_xk_spider\domain\services\login.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\src\ynu_xk_spider\http\client.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\src\ynu_xk_spider\spiders\ynu_spider.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\tests\test_http_client_thread_local.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\davidwushi1145__YNU-xk_spider_Refactoring\tests\test_spider_resilience.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\lib\authenticator.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\lib\common.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\lib\session_manager.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\README.md","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\tools\import_favorites.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\tools\input_cookie.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\tools\query_course_v2.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\xk_favorites.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\xk_quick.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","01_same_stack\GreenTeodoro839__NJU-xk-helper\xk.py","命中字段/代码模式；未保存匹配行或具体值"
